airport,total_delays_ct,longitude,latitude
DFW,2878.0,-97.052651,32.8169726
DSM,57.0,-121.6883402,44.0033869
DTW,80.0,25.35,11.433333
ECP,33.0,-74.664062,40.33138
EGE,3.0,32.9169558,39.9008874
ELP,83.0,6.6432482,52.8820781
EUG,1.0,-123.214917964354,44.12416275
EWR,159.0,-0.9808491474216804,51.9293628
EYW,30.0,-81.75961603475078,24.5554773
FAT,39.0,124.6290998,-9.9020987
FLL,130.0,-87.97114,46.424572
FSD,21.0,53.0982277,18.4596994
GEG,16.0,5.709592250000002,45.19402575
GRR,49.0,34.9405303,31.3248393
GSO,30.0,-112.1760442,33.4619044
GSP,38.0,-82.21722845651891,34.8954456
HNL,14.0,1.7524348584139826,52.4748963
IAD,34.0,-43.3744102,-21.7788848
IAH,126.0,-79.6311401,43.485555
ICT,36.0,11.1712504,10.3026067
ILM,34.0,-77.90953507173883,34.27353635
IND,129.0,-86.1746933,40.3270127
JAC,3.0,18.1360358,48.5918367
JAX,151.0,3.6168847,45.1683631
JFK,232.0,-73.7793733748521,40.6429479
KOA,3.0,140.5021749,-7.8965141
LAS,257.0,0.3098676,43.4697786
LAX,441.0,-83.1215404,31.4732507
LBB,25.0,8.2809779,49.996317
LEX,15.0,-81.8003918,37.3703899
LGA,297.0,24.0216384,42.8814427
LIH,15.0,-159.33671538390365,21.97206585
LIT,24.0,-96.6719618,35.3481286
MCI,79.0,11.392882331230885,47.26281635
MCO,380.0,-100.91964965,29.44530225
MDT,16.0,-76.36139938663678,36.7778576
MEM,114.0,-100.7712354,46.8397434
MFE,36.0,-82.4789063,38.4100884
MIA,803.0,165.9807237,-21.5549167
MKE,49.0,15.115839336574236,48.8638011
MRY,16.0,-3.25,57.416667
MSN,61.0,56.0064125,26.7442307
MSP,61.0,57.1743114,50.2863237
MSY,154.0,138.58985442726532,-34.925185299999995
MTJ,1.0,-8.942661,38.69581
MYR,21.0,-78.92905970872894,33.680640600000004
OGG,11.0,-101.8901892,34.8353363
OKC,78.0,22.866730976243858,43.9818686
OMA,49.0,-7.3029907,54.5992486
ONT,70.0,-86.000977,50.000678
ORD,689.0,-94.0710625,41.2511017
ORF,62.0,-76.20229629965002,36.8946697
PBI,94.0,-121.6543791,36.673138050000006
PDX,56.0,-122.67777,45.5255102
PHL,537.0,102.6007983,15.8137152
PHX,751.0,-112.36551,33.409092
PIT,101.0,-1.1063789,44.4765421
PNS,64.0,18.23618521690468,49.8044351
PSP,33.0,44.8668457,41.6907
PVD,25.0,-71.4296527,41.72434
PWM,17.0,57.5610161,26.9297693
RDU,223.0,-78.79765,35.870371
RIC,76.0,22.5194504,41.4427241
RNO,29.0,30.7383222,57.9159394
ROC,20.0,-77.67269338979611,43.1161699
RSW,82.0,6.4934556,49.9989624
SAN,188.0,3.282606,48.1978559
SAT,148.0,-7.7336741,40.7426067
SAV,60.0,30.645786,37.765446
SBA,34.0,56.7028366,22.7382098
SBP,19.0,2.433387,49.499205
SDF,73.0,48.5279462,34.7903513
SEA,86.0,126.9782914,37.5666791
SFO,207.0,9.780981751762262,54.92108795
SJC,27.0,-106.03875579447538,36.09509
SJU,58.0,11.417193959836451,58.11413
SLC,77.0,-51.20556320285798,-30.044138
SMF,61.0,57.49604476883336,-20.29515195
SNA,95.0,44.2,15.35
SRQ,41.0,47.7693841,39.8153407
STL,125.0,-90.37047024952082,38.74962725
STT,24.0,76.1188893,10.7005828
STX,11.0,121.31556076535524,39.5075108
SYR,40.0,43.166667,19.166667
TPA,272.0,20.7851996,48.109792
TUL,38.0,1.7706797,45.2678347
TUS,71.0,59.5169387,36.4833014
TYS,59.0,-83.99887165077078,35.809552999999994
VPS,68.0,-121.9844674,37.3787644
XNA,36.0,-94.30231731247596,36.279381150000006
ABQ,13.0,-0.0522137,51.5473673
ADK,0.0,139.7495655,35.6668373
ADQ,10.0,-2.674364410815823,56.7109977
AKN,6.0,38.4965266,39.2620966
ANC,178.0,-149.99789189730433,61.18103525
ATL,33.0,-84.42927118585675,33.63779875
AUS,59.0,-97.66500963529676,30.19348925
BET,8.0,34.7920936,31.2553377
BNA,29.0,44.7364245,35.5710071
BOI,11.0,9.495278,9.568333
BOS,71.0,22.8374152,45.7520158
BRW,4.0,-92.156886,39.171375
BUR,23.0,0.3267126,43.1893067
BWI,7.0,4.1203454,12.7229649
BZN,14.0,26.1066426,43.7371465
CDV,11.0,-58.484003232468126,-34.5443207
CHS,3.0,-92.876885,40.729827
CLE,11.0,-84.1566341,39.0678155
CMH,5.0,-93.1047756,37.6435334
CVG,11.0,10.927840369587262,44.6204085
DAL,13.0,18.9861778,45.4844796
DCA,26.0,-77.0460178,38.8530365
DEN,39.0,-104.68536732610298,39.8606676
DFW,58.0,-97.052651,32.8169726
DLG,0.0,10.106325953840958,56.7256054
DTW,13.0,25.35,11.433333
ELP,4.0,6.6432482,52.8820781
EUG,5.0,-123.214917964354,44.12416275
EWR,49.0,-0.9808491474216804,51.9293628
